菌名,菌种,来源（鸡、鸭、猪、牛、环境等）,样品（拭子、病料等）,二代测序数据,氨苄西林,头孢他啶,头孢噻呋,庆大霉素,大观霉素,四环素,氟苯尼考,复方新诺明,恩诺沙星,氧氟沙星,美罗培南,乙酰甲喹,安普霉素,黏菌素,奥格门丁,磺胺异噁唑
demo_183,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,>256,0.5,16,4,8,0.12/2.4,>32,>64,<0.03,16,8,2,4/2,16
demo_184,沙门菌,鸡场,鸡泄殖腔,,>512,32.00,>256,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,8,8,1.00,8/16,>512
demo_185,沙门菌,鸡场,鸡泄殖腔,,>512,8.00,128.00,32.00,>128,64.00,>256,>32/608,>32,64.00,<0.03,8,>64,0.50,8/16,>512
demo_186,沙门菌,鸡场,鸡泄殖腔,,>512,32.00,>256,>512,32.00,128.00,256.00,0.25/4.8,>32,>64,<0.03,32,8,0.25,8/16,>512
demo_187,沙门菌,鸡场,鸡盲肠,,>512,16.00,>256,>512,>128,128.00,>256,>32/608,>32,>64,<=0.03,4,8,0.5,8/4,>512
demo_188,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,>256,>512,>128,128.00,>256,>32/608,>32,>64,<=0.03,4,8,0.5,4/2,>512
demo_189,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,>256,64,32,>512,>256,16/304,>32,>64,<=0.03,16,8,0.5,4/2,>512
demo_190,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,1,0.5,32,128.00,>256,0.12/2.4,1,2,<=0.03,4,8,0.5,128/64,>512
demo_191,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,1,0.25,16,32,>256,0.12/2.4,1,2,<=0.03,8,4,1,32/16,>512
demo_192,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,256.00,0.50,16.00,64.00,256.00,44215.00,0.50,1.00,<0.03,64,4,4.00,8/4,>512
demo_193,沙门菌,鸡场,鸡泄殖腔,,>512,4.00,256.00,32,16,>512,>256,>32/608,>32,64,<=0.03,8,8,0.5,2/1,>512
demo_194,沙门菌,鸡场,鸡泄殖腔,,>512,16.00,>256,64,8,>512,>256,>32/608,>32,64,<=0.03,8,8,0.5,4/2,>512
demo_195,沙门菌,鸡场,鸡泄殖腔,,>512,0.50,0.5,>512,1,>512,8,1/19,>32,64,<=0.03,8,8,0.5,4/2,16
demo_196,沙门菌,鸡场,狗粪,,>512,16.00,>256,>512,1,>512,>256,1/19,>32,64,<=0.03,8,8,0.5,2/1,>512
demo_197,沙门菌,鸡场,堆肥,,>512,16.00,256.00,>512,>128,64.00,>256,>32/608,>32,64.00,<0.03,16,8,0.50,8/16,>512
demo_198,沙门菌,鸡场,堆肥,,>512,32.00,256.00,4,>128,128,>256,>32/608,16,32,<0.03,64,>64,4,8/4,>512
