name
China
Viet Nam
United Kingdom
Netherlands
Thailand
Japan
USA
Canada
Germany
Italy
unknown
human
Healthy pig
Diseased pig
1
2
3
4
5
6
7
8
9
10
11
12
14
15
16
17
18
19
21
23
24
25
28
29
30
31
1|2
nt
