id,sample,group,subgroup
gxs417,MPFF,C,C
gxs81,MPFF,C,NA
has34,MPFF,C,C
has57,MPFF,C,C
has63,MPFF,C,C
hn19s199,MPFF,C,NA
hn19s60,MPFF,C,NA
hns150,MPFF,C,NA
jls85,MPFF,C,NA
scs224,MPFF,C,C
yns63,MPFF,C,C
yns95,MPFF,C,C
c36,MPFF,C,C
c5,MPFF,C,C
d2,MPFF,C,C
fjs163,MPFF,C,C
fjs183,MPFF,C,B
gds100,MPFF,C,NA
gds107,MPFF,C,NA
gds116,MPFF,C,NA
gds171,MPFF,C,C
gds223,MPFF,C,C
gds332,MPFF,C,C
gds411,MPFF,C,C
gds524,MPFF,C,C
gds79,MPFF,C,NA
gx19s24,MPFF,C,C
gxs122,MPFF,C,NA
gxs128,MPFF,C,NA
gxs230,MPFF,C,C
gxs403,MPFF,C,NA
gxs417,MPFF,C,C
gxs81,MPFF,C,NA
has34,MPFF,C,C
has57,MPFF,C,C
has63,MPFF,C,C
hn19s199,MPFF,C,NA
hn19s60,MPFF,C,NA
hns150,MPFF,C,NA
jls85,MPFF,C,NA
scs224,MPFF,C,C
yns63,MPFF,C,C
yns95,MPFF,C,C
c36,MPFF,C,C
c5,MPFF,C,C
d2,MPFF,C,C
fjs163,MPFF,C,C
fjs183,MPFF,C,B
gds100,MPFF,C,NA
gds107,MPFF,C,NA
gds116,MPFF,C,NA
gds171,MPFF,C,C
gds223,MPFF,C,C
gds332,MPFF,C,C
gds411,MPFF,C,C
gds524,MPFF,C,C
gds79,MPFF,C,NA
gx19s24,MPFF,C,C
gxs122,MPFF,C,NA
gxs128,MPFF,C,NA
gxs230,MPFF,C,C
gxs403,MPFF,C,NA
gxs417,MPFF,C,C
gxs81,MPFF,C,NA
has34,MPFF,C,C
has57,MPFF,C,C
has63,MPFF,C,C
hn19s199,MPFF,C,NA
hn19s60,MPFF,C,NA
hns150,MPFF,C,NA
jls85,MPFF,C,NA
scs224,MPFF,C,C
yns63,MPFF,C,C
yns95,MPFF,C,C
c36,MPFF,C,C
c5,MPFF,C,C
d2,MPFF,C,C
fjs163,MPFF,C,C
fjs183,MPFF,C,B
gds100,MPFF,C,NA
gds107,MPFF,C,NA
gds116,MPFF,C,NA
gds171,MPFF,C,C
gds223,MPFF,C,C
gds332,MPFF,C,C
gds411,MPFF,C,C
gds524,MPFF,C,C
gds79,MPFF,C,NA
gx19s24,MPFF,C,C
gxs122,MPFF,C,NA
gxs128,MPFF,C,NA
gxs230,MPFF,C,C
gxs403,MPFF,C,NA
gxs417,MPFF,C,C
gxs81,MPFF,C,NA
has34,MPFF,C,C
has57,MPFF,C,C
has63,MPFF,C,C
hn19s199,MPFF,C,NA
hn19s60,MPFF,C,NA
hns150,MPFF,C,NA
jls85,MPFF,C,NA
scs224,MPFF,C,C
yns63,MPFF,C,C
yns95,MPFF,C,C
c36,MPFF,C,C
c5,MPFF,C,C
d2,MPFF,C,C
fjs163,MPFF,C,C
fjs183,MPFF,C,B
gds100,MPFF,C,NA
gds107,MPFF,C,NA
gds116,MPFF,C,NA
gds171,MPFF,C,C
gds223,MPFF,C,C
gds332,MPFF,C,C
gds411,MPFF,C,C
gds524,MPFF,C,C
gds79,MPFF,C,NA
gx19s24,MPFF,C,C
gxs122,MPFF,C,NA
gxs128,MPFF,C,NA
gxs230,MPFF,C,C
gxs403,MPFF,C,NA
gxs417,MPFF,C,C
gxs81,MPFF,C,NA
has34,MPFF,C,C
has57,MPFF,C,C
has63,MPFF,C,C
hn19s199,MPFF,C,NA
hn19s60,MPFF,C,NA
hns150,MPFF,C,NA
jls85,MPFF,C,NA
scs224,MPFF,C,C
yns63,MPFF,C,C
yns95,MPFF,C,C
c36,MPFF,C,C
c5,MPFF,C,C
d2,MPFF,C,C
fjs163,MPFF,C,C
fjs183,MPFF,C,B
gds100,MPFF,C,NA
gds107,MPFF,C,NA
gds116,MPFF,C,NA
gds171,MPFF,C,C
gds223,MPFF,C,C
gds332,MPFF,C,C
gds411,MPFF,C,C
gds524,MPFF,C,C
gds79,MPFF,C,NA
gx19s24,MPFF,C,C
gxs122,MPFF,C,NA
gxs128,MPFF,C,NA
gxs230,MPFF,C,C
gxs403,MPFF,C,NA
gxs417,MPFF,C,C
gxs81,MPFF,C,NA
has34,MPFF,C,C
has57,MPFF,C,C
has63,MPFF,C,C
hn19s199,MPFF,C,NA
hn19s60,MPFF,C,NA
hns150,MPFF,C,NA
jls85,MPFF,C,NA
scs224,MPFF,C,C
yns63,MPFF,C,C
yns95,MPFF,C,C
c36,MPFG,C,C
c5,MPFG,C,C
d2,MPFG,C,C
fjs163,MPFG,C,NA
fjs183,MPFG,C,B
gds100,MPFG,C,NA
gds107,MPFG,C,NA
gds116,MPFG,C,NA
gds171,MPFG,C,C
gds223,MPFG,C,C
gds332,MPFG,C,C
gds411,MPFG,C,C
gds524,MPFG,C,C
gds79,MPFG,C,NA
gx19s24,MPFG,C,C
gxs122,MPFG,C,NA
gxs128,MPFG,C,NA
gxs230,MPFG,C,NA
gxs403,MPFG,C,NA
gxs417,MPFG,C,NA
gxs81,MPFG,C,NA
has34,MPFG,C,C
has57,MPFG,C,C
has63,MPFG,C,C
hn19s199,MPFG,C,NA
hn19s60,MPFG,C,NA
hns150,MPFG,C,NA
jls85,MPFG,C,NA
scs224,MPFG,C,C
yns63,MPFG,C,NA
yns95,MPFG,C,C
c36,MPFT,C,NA
c5,MPFT,C,NA
d2,MPFT,C,NA
fjs163,MPFT,C,NA
fjs183,MPFT,C,NA
gds100,MPFT,C,NA
gds107,MPFT,C,C
gds116,MPFT,C,NA
gds171,MPFT,C,NA
gds223,MPFT,C,NA
gds332,MPFT,C,NA
gds411,MPFT,C,NA
gds524,MPFT,C,NA
gds79,MPFT,C,C
gx19s24,MPFT,C,NA
gxs122,MPFT,C,C
gxs128,MPFT,C,C
gxs230,MPFT,C,NA
gxs403,MPFT,C,NA
gxs417,MPFT,C,NA
gxs81,MPFT,C,NA
has34,MPFT,C,NA
has57,MPFT,C,NA
has63,MPFT,C,NA
hn19s199,MPFT,C,C
hn19s60,MPFT,C,C
hns150,MPFT,C,NA
jls85,MPFT,C,C
scs224,MPFT,C,NA
yns63,MPFT,C,NA
yns95,MPFT,C,NA
